Files,Predictions,Labels
spoof_29917.npy,1,0
human_02847.npy,0,1
spoof_08233.npy,1,0
spoof_23365.npy,1,0
human_10044.npy,0,1
human_02696.npy,0,1
human_02313.npy,0,1
human_06902.npy,0,1
spoof_18611.npy,1,0
human_01345.npy,0,1
human_09935.npy,0,1
human_01709.npy,0,1
spoof_05906.npy,1,0
spoof_38176.npy,1,0
spoof_08162.npy,1,0
human_00010.npy,0,1
human_07259.npy,0,1
spoof_28412.npy,1,0
human_07100.npy,0,1
spoof_25371.npy,1,0
human_08072.npy,0,1
spoof_37717.npy,1,0
human_06194.npy,0,1
human_05182.npy,0,1
human_05870.npy,0,1
human_09090.npy,0,1
human_02109.npy,0,1
human_04204.npy,0,1
human_08748.npy,0,1
spoof_31106.npy,1,0
spoof_01937.npy,1,0
spoof_28732.npy,1,0
human_03398.npy,0,1
human_06300.npy,0,1
human_03328.npy,0,1
human_05105.npy,0,1
human_00825.npy,0,1
human_01387.npy,0,1
human_03873.npy,0,1
spoof_15570.npy,1,0
spoof_33194.npy,1,0
spoof_27918.npy,1,0
human_01269.npy,0,1
human_03592.npy,0,1
human_09142.npy,0,1
human_01702.npy,0,1
spoof_17969.npy,1,0
human_09739.npy,0,1
human_01992.npy,0,1
human_06410.npy,0,1
human_08701.npy,0,1
spoof_27088.npy,1,0
human_07543.npy,0,1
spoof_17692.npy,1,0
spoof_03346.npy,1,0
spoof_34073.npy,1,0
spoof_17284.npy,1,0
spoof_33804.npy,1,0
human_04041.npy,0,1
human_04830.npy,0,1
human_05227.npy,0,1
spoof_00951.npy,1,0
human_08040.npy,0,1
spoof_28060.npy,1,0
spoof_32723.npy,1,0
human_06444.npy,0,1
spoof_27569.npy,1,0
human_08916.npy,0,1
spoof_12458.npy,1,0
human_03780.npy,0,1
spoof_13964.npy,1,0
spoof_39324.npy,1,0
spoof_33311.npy,1,0
human_09435.npy,0,1
human_03251.npy,0,1
human_02191.npy,0,1
human_01169.npy,0,1
human_08464.npy,0,1
human_05475.npy,0,1
spoof_38839.npy,1,0
spoof_13590.npy,1,0
human_06151.npy,0,1
spoof_33771.npy,1,0
human_07642.npy,0,1
spoof_30109.npy,1,0
spoof_18023.npy,1,0
spoof_36962.npy,1,0
spoof_30424.npy,1,0
spoof_02092.npy,1,0
spoof_12984.npy,1,0
spoof_29128.npy,1,0
spoof_03075.npy,1,0
spoof_23886.npy,1,0
human_05981.npy,0,1
spoof_13709.npy,1,0
spoof_09986.npy,1,0
spoof_08330.npy,1,0
human_10093.npy,0,1
spoof_35447.npy,1,0
human_04519.npy,0,1
spoof_18373.npy,1,0
human_07368.npy,0,1
human_05019.npy,0,1
spoof_28045.npy,1,0
spoof_29404.npy,1,0
human_00653.npy,0,1
spoof_25557.npy,1,0
spoof_11766.npy,1,0
spoof_02987.npy,1,0
human_06145.npy,0,1
human_02792.npy,0,1
spoof_32757.npy,1,0
human_08563.npy,0,1
human_03407.npy,0,1
spoof_09412.npy,1,0
human_01318.npy,0,1
human_03672.npy,0,1
spoof_30046.npy,1,0
spoof_09288.npy,1,0
human_02473.npy,0,1
human_04022.npy,0,1
human_08407.npy,0,1
spoof_09037.npy,1,0
human_09489.npy,0,1
human_01661.npy,0,1
spoof_33793.npy,1,0
spoof_29092.npy,1,0
spoof_08925.npy,1,0
spoof_16121.npy,1,0
human_09927.npy,0,1
spoof_01184.npy,1,0
human_06561.npy,0,1
spoof_26663.npy,1,0
spoof_21676.npy,1,0
spoof_33087.npy,1,0
spoof_26846.npy,1,0
spoof_35252.npy,1,0
human_08434.npy,0,1
human_03202.npy,0,1
human_10063.npy,0,1
human_00791.npy,0,1
spoof_08067.npy,1,0
spoof_34544.npy,1,0
spoof_05746.npy,1,0
spoof_00290.npy,1,0
spoof_29305.npy,1,0
human_02382.npy,0,1
human_07445.npy,0,1
spoof_12243.npy,1,0
spoof_33048.npy,1,0
spoof_03357.npy,1,0
human_01853.npy,0,1
human_00295.npy,0,1
spoof_31209.npy,1,0
human_03572.npy,0,1
human_06411.npy,0,1
spoof_21247.npy,1,0
human_09379.npy,0,1
spoof_17863.npy,1,0
human_04414.npy,0,1
spoof_06593.npy,1,0
spoof_13363.npy,1,0
human_09691.npy,0,1
human_07456.npy,0,1
spoof_08129.npy,1,0
spoof_14696.npy,1,0
spoof_05253.npy,1,0
human_05886.npy,0,1
spoof_15019.npy,1,0
human_00901.npy,0,1
spoof_31321.npy,1,0
human_03947.npy,0,1
spoof_32819.npy,1,0
human_03296.npy,0,1
spoof_13948.npy,1,0
spoof_11257.npy,1,0
human_03255.npy,0,1
human_04810.npy,0,1
spoof_05293.npy,1,0
spoof_08703.npy,1,0
spoof_16436.npy,1,0
human_01212.npy,0,1
human_00529.npy,0,1
human_02178.npy,0,1
spoof_08239.npy,1,0
spoof_33296.npy,1,0
human_00183.npy,0,1
human_05442.npy,0,1
human_04043.npy,0,1
spoof_23715.npy,1,0
spoof_12946.npy,1,0
spoof_27437.npy,1,0
spoof_25435.npy,1,0
human_00623.npy,0,1
human_01151.npy,0,1
spoof_36195.npy,1,0
spoof_33954.npy,1,0
spoof_10836.npy,1,0
spoof_25238.npy,1,0
spoof_23930.npy,1,0
human_02412.npy,0,1
spoof_33139.npy,1,0
human_09576.npy,0,1
spoof_04473.npy,1,0
spoof_33565.npy,1,0
human_04247.npy,0,1
human_00662.npy,0,1
spoof_09898.npy,1,0
spoof_00265.npy,1,0
spoof_07720.npy,1,0
human_10118.npy,0,1
human_04510.npy,0,1
spoof_22036.npy,1,0
spoof_21591.npy,1,0
human_04813.npy,0,1
human_03186.npy,0,1
human_03090.npy,0,1
spoof_06720.npy,1,0
spoof_15877.npy,1,0
spoof_28638.npy,1,0
spoof_24983.npy,1,0
spoof_23808.npy,1,0
human_06463.npy,0,1
spoof_09816.npy,1,0
human_02126.npy,0,1
human_03851.npy,0,1
spoof_34642.npy,1,0
spoof_24025.npy,1,0
spoof_38537.npy,1,0
spoof_12554.npy,1,0
spoof_10486.npy,1,0
spoof_19275.npy,1,0
human_01817.npy,0,1
human_00727.npy,0,1
spoof_08216.npy,1,0
human_01729.npy,0,1
human_09764.npy,0,1
human_08017.npy,0,1
spoof_26681.npy,1,0
spoof_03567.npy,1,0
spoof_01528.npy,1,0
human_06511.npy,0,1
spoof_02299.npy,1,0
human_06789.npy,0,1
spoof_08801.npy,1,0
spoof_24937.npy,1,0
human_03213.npy,0,1
human_02540.npy,0,1
human_07043.npy,0,1
human_07469.npy,0,1
human_00039.npy,0,1
spoof_24521.npy,1,0
spoof_34219.npy,1,0
spoof_07852.npy,1,0
spoof_29297.npy,1,0
human_07958.npy,0,1
spoof_07073.npy,1,0
human_03957.npy,0,1
spoof_11749.npy,1,0
human_00274.npy,0,1
spoof_10166.npy,1,0
human_07881.npy,0,1
spoof_03020.npy,1,0
spoof_13755.npy,1,0
human_07163.npy,0,1
spoof_23925.npy,1,0
human_03516.npy,0,1
human_07784.npy,0,1
human_08900.npy,0,1
spoof_18852.npy,1,0
spoof_05620.npy,1,0
human_04867.npy,0,1
spoof_20327.npy,1,0
spoof_12857.npy,1,0
spoof_11055.npy,1,0
spoof_35224.npy,1,0
spoof_13009.npy,1,0
spoof_12316.npy,1,0
spoof_16728.npy,1,0
spoof_29946.npy,1,0
human_01375.npy,0,1
human_02054.npy,0,1
spoof_37027.npy,1,0
spoof_09251.npy,1,0
human_07400.npy,0,1
human_06008.npy,0,1
human_02765.npy,0,1
spoof_27979.npy,1,0
human_07521.npy,0,1
human_09714.npy,0,1
spoof_38013.npy,1,0
spoof_31409.npy,1,0
human_05570.npy,0,1
spoof_23245.npy,1,0
human_07643.npy,0,1
spoof_14114.npy,1,0
human_03474.npy,0,1
human_07076.npy,0,1
spoof_05301.npy,1,0
human_07391.npy,0,1
spoof_38051.npy,1,0
spoof_05996.npy,1,0
spoof_23397.npy,1,0
human_00949.npy,0,1
spoof_16131.npy,1,0
spoof_04644.npy,1,0
human_01921.npy,0,1
spoof_25600.npy,1,0
human_03092.npy,0,1
spoof_01688.npy,1,0
spoof_20095.npy,1,0
human_03365.npy,0,1
human_04202.npy,0,1
human_07069.npy,0,1
human_00953.npy,0,1
spoof_36155.npy,1,0
human_02405.npy,0,1
spoof_18053.npy,1,0
human_08856.npy,0,1
spoof_03159.npy,1,0
spoof_01689.npy,1,0
spoof_23359.npy,1,0
human_00486.npy,0,1
spoof_19458.npy,1,0
human_09369.npy,0,1
human_07355.npy,0,1
human_02233.npy,0,1
spoof_14066.npy,1,0
human_03893.npy,0,1
human_05938.npy,0,1
spoof_09788.npy,1,0
spoof_37007.npy,1,0
human_09769.npy,0,1
spoof_36427.npy,1,0
spoof_31822.npy,1,0
human_06131.npy,0,1
human_05260.npy,0,1
spoof_16559.npy,1,0
spoof_25063.npy,1,0
spoof_32158.npy,1,0
human_05599.npy,0,1
human_03361.npy,0,1
spoof_25979.npy,1,0
spoof_07060.npy,1,0
spoof_26145.npy,1,0
spoof_25695.npy,1,0
human_03734.npy,0,1
spoof_12215.npy,1,0
spoof_27055.npy,1,0
human_05452.npy,0,1
human_03606.npy,0,1
spoof_38719.npy,1,0
spoof_26747.npy,1,0
human_02066.npy,0,1
spoof_37030.npy,1,0
spoof_19278.npy,1,0
human_09784.npy,0,1
spoof_20551.npy,1,0
spoof_31482.npy,1,0
spoof_13223.npy,1,0
human_06742.npy,0,1
spoof_29570.npy,1,0
human_06833.npy,0,1
human_01826.npy,0,1
human_04747.npy,0,1
human_07337.npy,0,1
spoof_14553.npy,1,0
spoof_36895.npy,1,0
human_01270.npy,0,1
human_09634.npy,0,1
spoof_16343.npy,1,0
spoof_02511.npy,1,0
human_02242.npy,0,1
human_03685.npy,0,1
human_09996.npy,0,1
human_07233.npy,0,1
spoof_18583.npy,1,0
human_03083.npy,0,1
spoof_21056.npy,1,0
human_00411.npy,0,1
human_05441.npy,0,1
human_06641.npy,0,1
spoof_04698.npy,1,0
spoof_23410.npy,1,0
human_02802.npy,0,1
spoof_09246.npy,1,0
spoof_07964.npy,1,0
spoof_07599.npy,1,0
human_02759.npy,0,1
spoof_16488.npy,1,0
human_01933.npy,0,1
spoof_07790.npy,1,0
spoof_11990.npy,1,0
spoof_07129.npy,1,0
spoof_15759.npy,1,0
spoof_06359.npy,1,0
human_02633.npy,0,1
spoof_27291.npy,1,0
spoof_14473.npy,1,0
spoof_01566.npy,1,0
spoof_11714.npy,1,0
human_03561.npy,0,1
human_07198.npy,0,1
spoof_13337.npy,1,0
human_04558.npy,0,1
spoof_20788.npy,1,0
human_00761.npy,0,1
spoof_19284.npy,1,0
spoof_05672.npy,1,0
spoof_38893.npy,1,0
spoof_23675.npy,1,0
spoof_34253.npy,1,0
human_02768.npy,0,1
human_02523.npy,0,1
human_10269.npy,0,1
spoof_11403.npy,1,0
human_04606.npy,0,1
human_01094.npy,0,1
spoof_35567.npy,1,0
spoof_39054.npy,1,0
spoof_10346.npy,1,0
spoof_17541.npy,1,0
spoof_06496.npy,1,0
spoof_32645.npy,1,0
human_05622.npy,0,1
spoof_00694.npy,1,0
human_07608.npy,0,1
human_09957.npy,0,1
spoof_24079.npy,1,0
spoof_37359.npy,1,0
human_03896.npy,0,1
spoof_14682.npy,1,0
human_03452.npy,0,1
human_03933.npy,0,1
spoof_01889.npy,1,0
human_08772.npy,0,1
spoof_07754.npy,1,0
human_09607.npy,0,1
spoof_02253.npy,1,0
spoof_34907.npy,1,0
spoof_04534.npy,1,0
spoof_33557.npy,1,0
human_02306.npy,0,1
human_09676.npy,0,1
human_07268.npy,0,1
human_00446.npy,0,1
human_04849.npy,0,1
spoof_02731.npy,1,0
spoof_37502.npy,1,0
human_07924.npy,0,1
spoof_01523.npy,1,0
spoof_21131.npy,1,0
spoof_37066.npy,1,0
human_07845.npy,0,1
spoof_34888.npy,1,0
human_06435.npy,0,1
human_04562.npy,0,1
spoof_25584.npy,1,0
spoof_32691.npy,1,0
spoof_20943.npy,1,0
human_00146.npy,0,1
spoof_39524.npy,1,0
human_09596.npy,0,1
spoof_12687.npy,1,0
human_07938.npy,0,1
human_08277.npy,0,1
spoof_01669.npy,1,0
human_05517.npy,0,1
spoof_03047.npy,1,0
human_02103.npy,0,1
human_04426.npy,0,1
spoof_03264.npy,1,0
human_04102.npy,0,1
spoof_12245.npy,1,0
human_00454.npy,0,1
human_04713.npy,0,1
spoof_05726.npy,1,0
human_02672.npy,0,1
human_03994.npy,0,1
spoof_26064.npy,1,0
spoof_17606.npy,1,0
human_04658.npy,0,1
human_04286.npy,0,1
human_00545.npy,0,1
human_03566.npy,0,1
spoof_05399.npy,1,0
spoof_25923.npy,1,0
human_01427.npy,0,1
human_03395.npy,0,1
spoof_33499.npy,1,0
human_02916.npy,0,1
human_09599.npy,0,1
spoof_31881.npy,1,0
spoof_12429.npy,1,0
human_03196.npy,0,1
human_01646.npy,0,1
spoof_30641.npy,1,0
spoof_19550.npy,1,0
spoof_05540.npy,1,0
spoof_02688.npy,1,0
human_03118.npy,0,1
human_00445.npy,0,1
human_05869.npy,0,1
spoof_29418.npy,1,0
spoof_28253.npy,1,0
spoof_10489.npy,1,0
human_04651.npy,0,1
human_03154.npy,0,1
spoof_06734.npy,1,0
human_08129.npy,0,1
human_03696.npy,0,1
human_01356.npy,0,1
human_07336.npy,0,1
spoof_29325.npy,1,0
human_02594.npy,0,1
spoof_03672.npy,1,0
human_01455.npy,0,1
human_05667.npy,0,1
spoof_24600.npy,1,0
human_00607.npy,0,1
human_07510.npy,0,1
human_04982.npy,0,1
human_09323.npy,0,1
human_04652.npy,0,1
human_03135.npy,0,1
spoof_13070.npy,1,0
spoof_02270.npy,1,0
spoof_33382.npy,1,0
human_05700.npy,0,1
spoof_06085.npy,1,0
human_08315.npy,0,1
spoof_10855.npy,1,0
human_04449.npy,0,1
human_06374.npy,0,1
human_05913.npy,0,1
spoof_36968.npy,1,0
spoof_21061.npy,1,0
spoof_07392.npy,1,0
human_00455.npy,0,1
